Name,Ticker,"Sub-Sector","Market Cap","Close Price","% From Upper Bollinger Band","% From Lower Bollinger Band","Super Trend","RSI Exponential – 14D","Volatility","Volatility vs Nifty","Alpha","Sharpe Ratio","Beta","1W Return","1W Return vs Nifty","1M Return","1M Return vs Nifty","6M Return","6M Return vs Nifty","1Y Return","1Y Return vs Nifty"
Invesco India Nifty 50 ETF,IVZINNIFTY,"Equity","3.37218525","2459.66","-1.347946397813","3.9199546420556","2526.3821428571428","62.2398837685198","29.433707556063464","2.680513390504951","2.16006877943471","0.018760771011538","1.05754965042655","0.16260162601626016","-0.17068100355645","0","0.5432666665166377","12.40049353379334","0.08744475175590516","31.06303618052964","2.233285540658848"
Nippon India ETF Nifty Dividend Opportunities 50,DIVOPPBEES,"Equity","3.13730683","72.13","-1.7592463410383001","2.1970093936164","67.63642857142857","50.8188641793809","12.98049490581928","1.1821273396888832","12.5758605044435","0.014865976829215","0.648079347307856","-2.3972602739726026","-2.7305429035453126","-2.889464358729732","-2.346197692213094","23.80707174733951","11.494022965302076","49.46125155408205","20.631500914211255"
IDFC Nifty 50 ETF,IDFNIFTYET,"Equity","2.786231955","238","-1.1989442482589","3.4706774471929998","228.8171428571429","60.1288463534503","23.559747711009077","2.145574732506595","12.5417949044064","0.03167957891044","0.740831604229541","-0.7660108832147394","-1.0992935127874497","-0.09271355725062112","0.45055310926601655","12.455112455112463","0.14206367307502887","30.24681223663329","1.4170615967624975"
Motilal Oswal Nifty 200 Momentum 30 ETF,MOMOMENTUM,"Equity","2.209998054","61.15","-3.4862618621062","1.4919856941807","66.61285714285715","42.6186774590817","16.962143944332936","1.5447341755317014",,,,"0.11545439551377253","-0.21782823405893764","0.4301786896095386","0.9734453561261762","33.1663763066202","20.853327524582767","67.44249726177435","38.612746621903554"
Edelweiss ETF-Nifty Bank,EBANK,"Equity","1.7649299939999998","4531.74","-3.018221775356","9.6247969479162","4700.545","66.2688689774686","31.08695596650943","2.831073916853543","27.1383071165318","0.071969087878504","1.26660411384004",,,,,,,"4.002680540606286","-24.827070099264507"
ICICI Prudential Nifty 200 Momentum 30 ETF,MOM30IETF,"Equity","0.6286160439999999","30.69","-6.2390588444629","2.2585111371733","32.22071428571427","21.9493627731985","14.91984681565994","1.3587431721771126",,,,"-1.711333548595407","-2.044616178168117","0.09865175928971107","0.6419184258063487","32.857142857142854","20.54409407510542","67.06586826347305","38.236117623602254"
BHARAT Bond ETF-April 2031-Growth,EBBETF0431,"Debt","0","1213.23","-2.0643065778816","0.46042102436649995","1198.0249999999999","36.3829969716115","1.7447893289131708","0.1588971131432756","3.14626096543457","-0.13193077695746",,"0.927373654646385","0.5940910250736748","1.6666666666666667","2.2099333331833044","4.832800483884911","-7.480248298152524","9.23701649499387","-19.59273414487692"
BHARAT Bond ETF-April 2025-Growth,EBBETF0425,"Debt","0","1193.2","-1.2495715910481","0.3271369593368","1183.482857142857","36.058663394519","1.0019820357671108","0.09125001526917258","3.10436195173621","-0.133332615424837",,"3.154362416107375","2.821079786534665","3.7584594872833414","4.301726153799979","3.330619879799785","-8.982428902237649","7.302158273381299","-21.527592366489493"
HDFC Nifty Bank ETF,HDFCNIFBAN,"Equity","0","47.49","-8.6390995176839","2.3562525501836","48.91571428571429","37.853305265549","13.196418046839346","1.201791354822612","3.88556665640078","0.072054511565188",,"-2.2381756756756803","-2.5714583052483904","-2.8127623845508047","-2.2694957180341673","5.14080765143465","-7.172241130602784","18.11963686108694","-10.710113778783853"
ICICI Prudential Nifty Private Bank ETF,PVTBANIETF,"Equity","0","23.45","-8.1070654150232","3.0431982870346","24.244","42.1652590342811","13.131889008336747","1.195914726760953","-5.95829788471876","-0.02562960736917",,"0.43010752688172654","0.09682489730901639","899.4435646107091","899.9868312772257","1.7618469015795817","-10.551201880457853","16.53911142033595","-12.290639219534842"
ICICI Prudential Nifty Midcap 150 ETF,MIDCAPIETF,"Equity","0","179.34","-6.585691761335501","2.0107185204692","187.49285714285713","39.9170653742877","13.681852693701757","1.2459996513360996","12.7258352728429","0.081438948753974",,"0.65596019000226","0.32267756042954987","-3.2082653616095733","-2.664998695092936","17.25400457665905","4.940955794621615","55.407279029462735","26.577528389591944"
ICICI Pru Nifty Alpha Low- Volatility 30 ETF,ALPL30IETF,"Equity","0","265.91","-2.7843384308751","1.2948089118816","258.83428571428567","46.7701923218812","11.384446369794292","1.0367759780039203","5.17805895398011","-0.017638996257212",,"-0.14749262536874788","-0.480775254941458","-0.3585176239716376","0.18474904254500008","31.177544275072773","18.86449549303534","56.999468618999835","28.169717979129043"
